programme,year,section,venue,faculty,day,period,time,subject,rotation_venues
AI,I Year,I/II/AI 'A,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,6,1:30-2:20,21MES102L/EG,
AI,I Year,I/II/AI 'A,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,7,2:20-3:05,,
AI,I Year,I/II/AI 'A,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,8,3:05-3:50,,
AI,I Year,I/II/AI 'B,ADMIN 508,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,1,8:30-9:20,21CYB101J/Chemistry,
AI,I Year,I/II/AI 'B,ADMIN 508,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,2,9:20-10:10,,
AI,I Year,I/II/AI 'B,ADMIN 508,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,3,10:20-11:10,21AIS101J/FDA,
AI,I Year,I/II/AI 'B,ADMIN 508,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,4,11:10-12:00,"21LEH103T/French 
21LEH104T/German 
21LEH105T/Japanese",
AI,I Year,I/II/AI 'B,ADMIN 508,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,5,12:40-1:30,21EES101T/EEE,
AI,I Year,I/II/AI 'B,ADMIN 508,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,6,1:30-2:20,21LEM101T/COI,
AI,I Year,I/II/AI 'B,ADMIN 508,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,7,2:20-3:05,21CYB101J/Chemistry,
AI,I Year,I/II/AI 'B,ADMIN 508,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,8,3:05-3:50,,
AI,I Year,I/II/AI 'B,ADMIN 508,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,1,8:30-9:20,21MES102L/EG,
AI,I Year,I/II/AI 'B,ADMIN 508,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,2,9:20-10:10,21MES102L/EG,
AI,I Year,I/II/AI 'B,ADMIN 508,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,3,10:20-11:10,21MES102L/EG,
AI,I Year,I/II/AI 'B,ADMIN 508,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,4,11:10-12:00,,
AI,I Year,I/II/AI 'B,ADMIN 508,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,5,12:40-1:30,21MAB102T/ACCA,
