programme,year,section,venue,faculty,day,period,time,subject,rotation_venues
BIOTECH,II Year,II/IV/A,"Rotation: BLOCK III 401, BLOCK III 402, BLOCK III 403",FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,4,11:10-12:00,21LEM202T            (BLOCK III 402),BLOCK III 401; BLOCK III 402; BLOCK III 403; BLOCK III 504
BIOTECH,II Year,II/IV/A,"Rotation: BLOCK III 401, BLOCK III 402, BLOCK III 403",FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,5,12:40-1:30,,BLOCK III 401; BLOCK III 402; BLOCK III 403; BLOCK III 504
BIOTECH,II Year,II/IV/A,"Rotation: BLOCK III 401, BLOCK III 402, BLOCK III 403",FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,6,1:30-2:20,,BLOCK III 401; BLOCK III 402; BLOCK III 403; BLOCK III 504
BIOTECH,II Year,II/IV/A,"Rotation: BLOCK III 401, BLOCK III 402, BLOCK III 403",FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,7,2:20-3:05,,BLOCK III 401; BLOCK III 402; BLOCK III 403; BLOCK III 504
BIOTECH,II Year,II/IV/A,"Rotation: BLOCK III 401, BLOCK III 402, BLOCK III 403",FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,8,3:05-3:50,,BLOCK III 401; BLOCK III 402; BLOCK III 403; BLOCK III 504
BIOTECH,II Year,II/IV/A,"Rotation: BLOCK III 401, BLOCK III 402, BLOCK III 403",FACULTY OF ENGINEERING AND TECHNOLOGY,WED,1,8:30-9:20,21BTC207T                    (BLOCK III 401),BLOCK III 401; BLOCK III 402; BLOCK III 403; BLOCK III 504
BIOTECH,II Year,II/IV/A,"Rotation: BLOCK III 401, BLOCK III 402, BLOCK III 403",FACULTY OF ENGINEERING AND TECHNOLOGY,WED,2,9:20-10:10,21PDM202L (BLOCK III 401),BLOCK III 401; BLOCK III 402; BLOCK III 403; BLOCK III 504
BIOTECH,II Year,II/IV/A,"Rotation: BLOCK III 401, BLOCK III 402, BLOCK III 403",FACULTY OF ENGINEERING AND TECHNOLOGY,WED,3,10:20-11:10,CLUB ACTIVITY,BLOCK III 401; BLOCK III 402; BLOCK III 403; BLOCK III 504
BIOTECH,II Year,II/IV/A,"Rotation: BLOCK III 401, BLOCK III 402, BLOCK III 403",FACULTY OF ENGINEERING AND TECHNOLOGY,WED,4,11:10-12:00,,BLOCK III 401; BLOCK III 402; BLOCK III 403; BLOCK III 504
BIOTECH,II Year,II/IV/A,"Rotation: BLOCK III 401, BLOCK III 402, BLOCK III 403",FACULTY OF ENGINEERING AND TECHNOLOGY,WED,5,12:40-1:30,,BLOCK III 401; BLOCK III 402; BLOCK III 403; BLOCK III 504
BIOTECH,II Year,II/IV/A,"Rotation: BLOCK III 401, BLOCK III 402, BLOCK III 403",FACULTY OF ENGINEERING AND TECHNOLOGY,WED,6,1:30-2:20,,BLOCK III 401; BLOCK III 402; BLOCK III 403; BLOCK III 504
BIOTECH,II Year,II/IV/A,"Rotation: BLOCK III 401, BLOCK III 402, BLOCK III 403",FACULTY OF ENGINEERING AND TECHNOLOGY,WED,7,2:20-3:05,,BLOCK III 401; BLOCK III 402; BLOCK III 403; BLOCK III 504
BIOTECH,II Year,II/IV/A,"Rotation: BLOCK III 401, BLOCK III 402, BLOCK III 403",FACULTY OF ENGINEERING AND TECHNOLOGY,WED,8,3:05-3:50,,BLOCK III 401; BLOCK III 402; BLOCK III 403; BLOCK III 504
BIOTECH,II Year,II/IV/A,"Rotation: BLOCK III 401, BLOCK III 402, BLOCK III 403",FACULTY OF ENGINEERING AND TECHNOLOGY,THU,1,8:30-9:20,21BTC207T                 (BLOCK III 401),BLOCK III 401; BLOCK III 402; BLOCK III 403; BLOCK III 504
BIOTECH,II Year,II/IV/A,"Rotation: BLOCK III 401, BLOCK III 402, BLOCK III 403",FACULTY OF ENGINEERING AND TECHNOLOGY,THU,2,9:20-10:10,21CHS252J                 (BLOCK III 401),BLOCK III 401; BLOCK III 402; BLOCK III 403; BLOCK III 504
BIOTECH,II Year,II/IV/A,"Rotation: BLOCK III 401, BLOCK III 402, BLOCK III 403",FACULTY OF ENGINEERING AND TECHNOLOGY,THU,3,10:20-11:10,21PDH209T (BLOCK III 401),BLOCK III 401; BLOCK III 402; BLOCK III 403; BLOCK III 504
BIOTECH,II Year,II/IV/A,"Rotation: BLOCK III 401, BLOCK III 402, BLOCK III 403",FACULTY OF ENGINEERING AND TECHNOLOGY,THU,4,11:10-12:00,21CHS252J (BATCH B),BLOCK III 401; BLOCK III 402; BLOCK III 403; BLOCK III 504
BIOTECH,II Year,II/IV/A,"Rotation: BLOCK III 401, BLOCK III 402, BLOCK III 403",FACULTY OF ENGINEERING AND TECHNOLOGY,THU,5,12:40-1:30,,BLOCK III 401; BLOCK III 402; BLOCK III 403; BLOCK III 504
BIOTECH,II Year,II/IV/A,"Rotation: BLOCK III 401, BLOCK III 402, BLOCK III 403",FACULTY OF ENGINEERING AND TECHNOLOGY,THU,6,1:30-2:20,,BLOCK III 401; BLOCK III 402; BLOCK III 403; BLOCK III 504
BIOTECH,II Year,II/IV/A,"Rotation: BLOCK III 401, BLOCK III 402, BLOCK III 403",FACULTY OF ENGINEERING AND TECHNOLOGY,THU,7,2:20-3:05,,BLOCK III 401; BLOCK III 402; BLOCK III 403; BLOCK III 504
BIOTECH,II Year,II/IV/A,"Rotation: BLOCK III 401, BLOCK III 402, BLOCK III 403",FACULTY OF ENGINEERING AND TECHNOLOGY,THU,8,3:05-3:50,,BLOCK III 401; BLOCK III 402; BLOCK III 403; BLOCK III 504
