programme,year,section,venue,faculty,day,period,time,subject,rotation_venues
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,WED,4,11:10-12:00,"21MAB102T 
(ADMIN 307)","ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,WED,5,12:40-1:30,Club Activities,"ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,WED,6,1:30-2:20,"21LEM101T  
(ADMIN 307)","ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,WED,7,2:20-3:05,"<--------21CYB101J (LAB)-------->
(B-V - Chemistry Lab)","ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,WED,8,3:05-3:50,,"ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,THU,1,8:30-9:20,"21MAB102T 
(ADMIN 307)","ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,THU,2,9:20-10:10,"21LEH101T
(ADMIN 307)","ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,THU,3,10:20-11:10,"21PDM102L
(ADMIN 307)","ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,THU,4,11:10-12:00,,"ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,THU,5,12:40-1:30,"21MAB102T (Tutorial)
(ADMIN 307)","ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,THU,6,1:30-2:20,,"ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,THU,7,2:20-3:05,"<-------21CSS101J (LAB)-------->
(BMS 7th Floor, Programming LAB)","ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,THU,8,3:05-3:50,,"ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,FRI,1,8:30-9:20,"21CYB101J
(ADMIN 307)","ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
