programme,year,section,venue,faculty,day,period,time,subject,rotation_venues
Bio-Med,I Year,I/II/A,AD 701,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,3,10:20-11:10,21CSS101J,
Bio-Med,I Year,I/II/A,AD 701,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,4,11:10-12:00,,
Bio-Med,I Year,I/II/A,AD 701,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,5,12:40-1:30,,
Bio-Med,I Year,I/II/A,AD 701,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,6,1:30-2:20,,
Bio-Med,I Year,I/II/A,AD 701,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,7,2:20-3:05,,
Bio-Med,I Year,I/II/A,AD 701,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,8,3:05-3:50,,
Bio-Med,I Year,I/II/A,AD 701,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,1,8:30-9:20,21BTB104T,
Bio-Med,I Year,I/II/A,AD 701,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,2,9:20-10:10,21MAB102T,
Bio-Med,I Year,I/II/A,AD 701,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,3,10:20-11:10,SEMINAR,
Bio-Med,I Year,I/II/A,AD 701,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,4,11:10-12:00,LIBRARY,
Bio-Med,I Year,I/II/A,AD 701,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,5,12:40-1:30,,
Bio-Med,I Year,I/II/A,AD 701,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,6,1:30-2:20,,
Bio-Med,I Year,I/II/A,AD 701,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,7,2:20-3:05,,
Bio-Med,I Year,I/II/A,AD 701,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,8,3:05-3:50,,
Bio-Med,I Year,I/II/A,AD 701,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,1,8:30-9:20,,
Bio-Med,I Year,I/II/A,AD 701,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,2,9:20-10:10,21LEH101T,
